year,full_effective_pool_size,full_prefit_rmse_cv,full_ess,full_median_smd,full_max_smd,full_top10_share,emb_effective_pool_size,emb_prefit_rmse_cv,emb_ess,emb_median_smd,emb_max_smd,emb_top10_share,rand_prefit_rmse_cv,rand_median_smd,rand_max_smd,rand_ess,rand_top10_share,selected_k
2008,48262.0,0.0078731044010656,3848.46226474003,0.0078731044010656,0.0078731044010656,0.616389161601396,25173.0,0.0119629051261994,3286.28816034766,0.0119629051261994,0.0119629051261994,0.547967323243901,0.01315919563881934,0.014355486151439278,0.013757340895129307,2793.3449362955107,0.6027640555682912,59.0
2009,11934.0,0.0051769123000451,1999.38937114946,0.0051769123000451,0.573130171533399,0.474716530834242,11078.0,0.0047010315619787,1917.83443862296,0.0047010315619787,0.572837930585617,0.473853555396481,0.00517113471817657,0.00564123787437444,0.6587636201734596,1630.159272829516,0.5212389109361292,22.0
2010,5654.0,0.0050431446650277,1009.53529775398,0.0050431446650277,0.0050431446650277,0.475474214022294,5382.0,0.0051445927302216,982.185920028038,0.0051445927302216,0.0051445927302216,0.47546888541054,0.005659052003243761,0.00617351127626592,0.00591628163975484,834.8580320238323,0.523015773951594,19.0
2011,5901.0,0.0054921528426506,941.669571674763,0.0054921528426506,0.0054921528426506,0.518983644608883,5671.0,0.0054210222443715,912.082471037763,0.0054210222443715,0.0054210222443715,0.518060419753955,0.00596312446880865,0.0065052266932457995,0.006234175581027224,775.2701003820985,0.5698664617293505,21.0
2012,13605.0,0.0027638933987975,1333.93805362844,0.0027638933987975,0.0027638933987975,0.569988191534273,13605.0,0.0027638933987975,1333.93805362844,0.0027638933987975,0.0027638933987975,0.569988191534273,0.0030402827386772505,0.003316672078557,0.003178477408617125,1133.847345584174,0.6269870106877004,26.0
2013,15171.0,0.0315707271953551,1492.97644161934,0.0315707271953551,0.0614180358945002,0.607890008620256,8680.0,0.0123476300659229,1393.45693374154,0.0123476300659229,0.0214860213152009,0.523576835355488,0.01358239307251519,0.014817156079107479,0.024708924512481033,1184.438393680309,0.5759345188910369,13.0
2014,16615.0,0.0082900269969856,1562.86159481007,0.0082900269969856,0.57232335127462,0.60950843577168,14732.0,0.0084663360907051,1570.9554393315,0.0084663360907051,0.572789057258191,0.59706303560216,0.00931296969977561,0.010159603308846119,0.6587074158469195,1335.312123431775,0.656769339162376,24.0
2015,21858.0,0.0360802036748385,1965.976704347,0.0360802036748385,0.0578706630602727,0.672050407322647,18573.0,0.036461643686443,1471.8394782099,0.036461643686443,0.0523886827386248,0.696760649713313,0.040107808055087305,0.0437539724237316,0.060246985149418515,1251.063556478415,0.7664367146846444,24.0
2016,8218.0,0.0131271984211821,709.492728990922,0.0131271984211821,0.543992265326469,0.583136245792674,4700.0,0.004174856896759,606.875453882222,0.004174856896759,0.529697786893059,0.526945045734652,0.0045923425864349,0.005009828276110799,0.6091524549270179,515.8441357998887,0.5796395503081172,12.0
2017,26378.0,0.0116691592971394,2848.18319471293,0.0116691592971394,0.570652736731233,0.62166844509435,26378.0,0.0116691592971394,2848.18319471293,0.0116691592971394,0.570652736731233,0.62166844509435,0.01283607522685334,0.01400299115656728,0.6562506472409179,2420.95571550599,0.6838352896037851,29.0
2018,,,,,,,,,,,,,,,,,,
2019,7714.0,0.0275074934952642,778.233513813298,0.0275074934952642,0.0343277044241037,0.604449684961974,4606.0,0.0150164862969284,861.448440053854,0.0150164862969284,0.0271329781442708,0.499942191050825,0.016518134926621242,0.01801978355631408,0.031202924865911415,732.2311740457759,0.5499364101559076,13.0
