year,experiment_name,output_tag,effective_pool_size,pool_prop_full,coverage_ratio,representative_K,rmse,rmse_train,median_smd,p90_RMSE,max_smd,max_balance_std,mean_balance_std,ess,ess_ratio,top10_share,max_weight_share,support_similarity_min,support_similarity_p10,support_similarity_median,donor_hash,prefit_rmse_cv,prefit_rmse_cv_source,prefit_rmse_train,donor_utilization
2009,full_pool,,6421,0.0798512659802019,10.701666666666666,12,0.0007679148382085,0.0006521758020825,0.0090629218302162,0.0090629218302162,0.568475489969375,0.0079455802895395,0.0014426136403253,1322.08878096739,2.1119629088936,0.476584411420604,0.0125716293284145,0.6013080578382279,0.8584924704031986,0.9364867855173746,315052ae8131085cd4e2f9128bc6b134574645edaaef756dba0ba7a2cda07060,0.0090629218302162,median_RMSE,0.0006521758020825,0.2059007601568898
2009,full_pool,,6903,0.0858453962095209,11.505,13,0.0007791595330266,0.000652169544754,0.0085956718688524,0.0085956718688524,0.568908765876266,0.0086866092074277,0.0014522566442697,1384.93242914245,2.21235212323075,0.4782445889066,0.0122397040857337,0.6009467141474428,0.8571449243950308,0.9360298419728332,c9ca5e29a68a35dc07a71c3999c1b426c0db48442ccbba351621282a258568ff,0.0085956718688524,median_RMSE,0.000652169544754,0.2006276154052513
2009,full_pool,,7377,0.091740038800179,12.295,14,0.0008007489682022,0.0006521726416232,0.0073910676401957,0.0073910676401957,0.570090101721741,0.0085199051249499,0.0014360046610313,1461.59721835202,2.33481983762303,0.475796167044344,0.0121969692911856,0.5995998220153269,0.8565529470926422,0.9356949708132648,7224ecab64cbd6f5298646ed1bb288a963197d7b876efe04f3e2b670247f0b8a,0.0073910676401957,median_RMSE,0.0006521726416232,0.198128943791788
2009,full_pool,,7868,0.0978460926229916,13.113333333333332,15,0.0008008382942046,0.0006521734348632,0.0074578309161242,0.0074578309161242,0.570008758586616,0.0078572172951787,0.0014347755425273,1553.78153172864,2.48207912416715,0.475045335901722,0.0120124036278648,0.597655435704657,0.8550280381655737,0.9352149667552724,4453280a4254717152de5bee807d641eaea859bb0a4a0698dcd51e3cb0135871,0.0074578309161242,median_RMSE,0.0006521734348632,0.1974811301129435
2009,full_pool,,8340,0.1037158633039844,13.9,16,0.0008085559370953,0.0006521835891636,0.0074937037347637,0.0074937037347637,0.570085548868683,0.0073702995666521,0.0014121756631045,1597.70243991698,2.55224031935619,0.474721734110537,0.012066254409896,0.5969471781782287,0.8540750232668929,0.9349076627324002,5c1d4d14d12cca69ee9692721b5db72f295501b74c95e9fb498132134c739280,0.0074937037347637,median_RMSE,0.0006521835891636,0.1915710359612686
2009,full_pool,,8806,0.1095110182559817,14.676666666666666,17,0.0008132836510931,0.0006521845080413,0.0071194408638678,0.0071194408638678,0.570457863713555,0.0072492368506206,0.0014050071139432,1647.61098771898,2.63196643405588,0.476276109357994,0.0120266168114389,0.5967699112472956,0.853604793428458,0.9345435906571464,fde7880e86c18e3d28a0f94374c054aca0d02a54de50e6ad891a083d7c757946,0.0071194408638678,median_RMSE,0.0006521845080413,0.1871009525004519
2009,full_pool,,9721,0.1208899169278217,16.201666666666668,19,0.0008306603278806,0.0006521875357855,0.0058180547064286,0.0058180547064286,0.571769871878834,0.0087761915338493,0.0013975227428155,1799.3613522878,2.87437915700927,0.476222255611356,0.0117334620354955,0.585694063858292,0.8519820661964993,0.9338078849408908,101aac5eb95b85b593e699a686385412a7e5854b070603fa03e3837d914e12c9,0.0058180547064286,median_RMSE,0.0006521875357855,0.1851004374331653
2009,full_pool,,10188,0.1266975078346515,16.98,20,0.0008339868111007,0.0006521876034032,0.0055772467389012,0.0055772467389012,0.571990234717247,0.0091681166985569,0.0014011717217183,1849.63177899445,2.95468335302628,0.477533136364793,0.0117282453446598,0.5853590170847589,0.851572969925745,0.9334494522455334,75d7f1cb3eed8bbb05d3d5856602b4913071c17982018135372c90965ef81452,0.0055772467389012,median_RMSE,0.0006521876034032,0.1815500372000834
2009,full_pool,,11078,0.1377655076356762,18.463333333333335,22,0.0008445087126133,0.0006522459694196,0.0047010315619787,0.0047010315619787,0.572837930585617,0.0097729382625554,0.0013659704799212,1917.83443862296,3.06363328853507,0.473853555396481,0.0112551212562008,0.5812121456180852,0.8499781728158038,0.9328891662361202,112635b80624f35a657d1b017aae8853cac54259022e9fb4ddb440ede83fd471,0.0047010315619787,median_RMSE,0.0006522459694196,0.173121000056234
2009,full_pool,,11934,0.1484106849723921,19.89,24,0.0008584570702872,0.0006522318489869,0.0051769123000451,0.0051769123000451,0.573130171533399,0.0089961105171479,0.001367957560803,1999.38937114946,3.1939127334656,0.474716530834242,0.01127319819121,0.5793386794826657,0.8490998753244386,0.9322653985173736,278cc82cc0cc617533208159803b643b56c7b7a3262aca430c298e972ae13794,0.0051769123000451,median_RMSE,0.0006522318489869,0.1675372357256125
