year,selected_k,effective_pool_size,prefit_rmse_cv,ess,median_smd,max_smd,top10_share,frontier_path
2008,,46792,0.0078396630816268,3818.59255119478,0.0078396630816268,0.0078396630816268,0.613735091188032,Embeddings/data/k_selection/2008/embedding_pool_frontier.csv
2009,22.0,11078,0.0047010315619787,1917.83443862296,0.0047010315619787,0.572837930585617,0.473853555396481,Embeddings/data/k_selection/2009/embedding_pool_frontier.csv
2010,19.0,5382,0.0051445927302216,982.185920028038,0.0051445927302216,0.0051445927302216,0.47546888541054,Embeddings/data/k_selection/2010/embedding_pool_frontier.csv
2011,21.0,5671,0.0054210222443715,912.082471037763,0.0054210222443715,0.0054210222443715,0.518060419753955,Embeddings/data/k_selection/2011/embedding_pool_frontier.csv
2012,26.0,13605,0.0027638933987975,1333.93805362844,0.0027638933987975,0.0027638933987975,0.569988191534273,Embeddings/data/k_selection/2012/embedding_pool_frontier.csv
2013,13.0,8680,0.0123476300659229,1393.45693374154,0.0123476300659229,0.0214860213152009,0.523576835355488,Embeddings/data/k_selection/2013/embedding_pool_frontier.csv
2014,24.0,14732,0.0084663360907051,1570.9554393315,0.0084663360907051,0.572789057258191,0.59706303560216,Embeddings/data/k_selection/2014/embedding_pool_frontier.csv
2015,24.0,18573,0.036461643686443,1471.8394782099,0.036461643686443,0.0523886827386248,0.696760649713313,Embeddings/data/k_selection/2015/embedding_pool_frontier.csv
2016,12.0,4700,0.004174856896759,606.875453882222,0.004174856896759,0.529697786893059,0.526945045734652,Embeddings/data/k_selection/2016/embedding_pool_frontier.csv
2017,29.0,26378,0.0116691592971394,2848.18319471293,0.0116691592971394,0.570652736731233,0.62166844509435,Embeddings/data/k_selection/2017/embedding_pool_frontier.csv
2019,13.0,4606,0.0150164862969284,861.448440053854,0.0150164862969284,0.0271329781442708,0.499942191050825,Embeddings/data/k_selection/2019/embedding_pool_frontier.csv
