"treated_id","control_id"
"CA3278611653420070912_A","CA4090212304019870830_C1"
"CA3278611653420070912_A","CA3413411831120070508_C1"
"CA3281011635519890621_A","CA3985012024819960725_C1"
"CA3281011635519890621_A","CA3484512056319930615_C1"
"CA3281011635519890621_A","CA4072112286319940712_C1"
"CA3281011635519890621_A","CA3604211878120070706_C1"
"CA3281011635519890621_A","CA3692411971419970519_C1"
"CA3281011635519890621_A","CA3886212292420021125_C1"
"CA3281011635519890621_A","CA4038712317320150730_C1"
"CA3281011635519890621_A","CA3465412058320101028_C1"
"CA3281011635519890621_A","CA3398411985619990615_C1"
"CA3281011635519890621_A","CA3759312148820090813_C1"
"CA3281011635519890621_A","CA3608212045920160702_C1"
"CA3281011635519890621_A","CA3759112046019960723_C1"
"CA3281011635519890621_A","CA4038412209519990823_C1"
"CA3281011635519890621_A","CA4034212258719900809_C1"
"CA3281011635519890621_A","CA3600012102719870707_C1"
"CA3281011635519890621_A","CA3646712120519940805_C1"
"CA3281011635519890621_A","CA3260911605720070605_C1"
"CA3281011635519890621_A","CA3716011953619880709_C1"
"CA3281011635519890621_A","CA3762512119620040719_C1"
"CA3281011635519890621_A","CA3396111720119960630_C1"
"CA3282111703419880903_A","CA3705711928720061201_C1"
"CA3282111703419880903_A","CA3591911943419920612_C1"
"CA3282111703419880903_A","CA3673911825219850706_C1"
"CA3282111703419880903_A","CA3398411985619990615_C1"
"CA3282111703419880903_A","CA3592012099119920604_C1"
"CA3282111703419880903_A","CA3592511748620050718_C1"
"CA3282111703419880903_A","CA4030412219519990823_C1"
"CA3282111703419880903_A","CA3700411949520160730_C1"
"CA3282111703419880903_A","CA3983412102119990823_C1"
"CA3282111703419880903_A","CA3698911976620080610_C1"
"CA3282111703419880903_A","CA3759211908519920820_C1"
"CA3282111703419880903_A","CA3500511465220030716_C1"
"CA3282111703419880903_A","CA3933912118620090815_C1"
"CA3282111703419880903_A","CA3605012069320060722_C1"
"CA3282111703419880903_A","CA3855712103319960802_C1"
"CA3282111703419880903_A","CA3935012076620080621_C1"
"CA3282111703419880903_A","CA3824712190119890703_C1"
"CA3282111703419880903_A","CA3485611858619840630_C1"
"CA3282111703419880903_A","CA3939212114620100827_C1"
"CA3282111703419880903_A","CA4177812162219990823_C1"
"CA3284911447519890529_A","CA3601111879719850712_C1"
"CA3284911447519890529_A","CA3728211985320050702_C1"
"CA3284911447519890529_A","CA3600012102719870707_C1"
"CA3284911447519890529_A","CA3350011684320040425_C1"
"CA3284911447519890529_A","CA3525911502319940628_C1"
"CA3284911447519890529_A","CA3591911943419920612_C1"
"CA3284911447519890529_A","CA3630012029019870514_C1"
"CA3284911447519890529_A","CA3335711682319880602_C1"
"CA3284911447519890529_A","CA3445211772619840706_C1"
"CA3284911447519890529_A","CA4006312162120080620_C1"
"CA3284911447519890529_A","CA3935012076620080621_C1"
"CA3284911447519890529_A","CA3515111961720000722_C1"
"CA3284911447519890529_A","CA4048812292220080621_C1"
"CA3284911447519890529_A","CA4042012031420010808_C1"
"CA3284911447519890529_A","CA4038712317320150730_C1"
"CA3284911447519890529_A","CA4083712302219870830_C1"
"CA3284911447519890529_A","CA4030412219519990823_C1"
"CA3284911447519890529_A","CA3396111720119960630_C1"
"CA3284911447519890529_A","CA4090212304019870830_C1"
"CA3284911447519890529_A","CA3398411985619990615_C1"
"CA3331611676519890410_A","CA4090212304019870830_C1"
"CA3331611676519890410_A","CA3396111657819880704_C1"
"CA3331611676519890410_A","CA3920712310319951004_C1"
"CA3331611676519890410_A","CA3591911943419920612_C1"
"CA3331611676519890410_A","CA3607412018819840329_C1"
"CA3331611676519890410_A","CA3547311855319880811_C1"
"CA3331611676519890410_A","CA4154812306220140731_C1"
"CA3331611676519890410_A","CA3698911976620080610_C1"
"CA3331611676519890410_A","CA4059212068919850708_C1"
"CA3331611676519890410_A","CA3935012076620080621_C1"
"CA3331611676519890410_A","CA4062412045019870627_C1"
"CA3331611676519890410_A","CA4192312065019840813_C1"
"CA3331611676519890410_A","CA3615912025120061025_C1"
"CA3331611676519890410_A","CA3448712019620040605_C1"
"CA3331611676519890410_A","CA3951912133920150911_C1"
"CA3331611676519890410_A","CA3502811950619950625_C1"
"CA3331611676519890410_A","CA3700411949520160730_C1"
"CA3331611676519890410_A","CA3715011941919920813_C1"
"CA3331611676519890410_A","CA3474011878120020618_C1"
"CA3331611676519890410_A","CA3491911980619960703_C1"
"CA3332411665620030612_A","CA3946112111419991016_C1"
"CA3332411665620030612_A","CA3935012076620080621_C1"
"CA3332411665620030612_A","CA3614911850520120601_C1"
"CA3332411665620030612_A","CA3673911825219850706_C1"
"CA3332411665620030612_A","CA3445211772619840706_C1"
"CA3332411665620030612_A","CA3601111879719850712_C1"
"CA3332411665620030612_A","CA4154812306220140731_C1"
"CA3332411665620030612_A","CA4184212270320070710_C1"
"CA3332411665620030612_A","CA4083712302219870830_C1"
"CA3332411665620030612_A","CA4078712209120080621_C1"
"CA3332411665620030612_A","CA4096712232419990823_C1"
"CA3332411665620030612_A","CA3988312279019940827_C1"
"CA3332411665620030612_A","CA4183412334819870830_C1"
"CA3332411665620030612_A","CA3502311937719961028_C1"
"CA3332411665620030612_A","CA3509311838420050709_C1"
"CA3332411665620030612_A","CA4037712021119860718_C1"
"CA3332411665620030612_A","CA3814611990020030720_C1"
"CA3332411665620030612_A","CA3700411949520160730_C1"
"CA3332411665620030612_A","CA3996312371720060924_C1"
"CA3332411665620030612_A","CA3600012102719870707_C1"
"CA3335711682319880602_A","CA4114112280520140802_C1"
"CA3335711682319880602_A","CA3604211878120070706_C1"
"CA3335711682319880602_A","CA3335711682319880602_C1"
"CA3335711682319880602_A","CA4199712363419870830_C1"
"CA3335711682319880602_A","CA3801412057319960812_C1"
"CA3335711682319880602_A","CA3625811864820161102_C1"
"CA3335711682319880602_A","CA4118412131019900810_C1"
"CA3335711682319880602_A","CA3626012031719840525_C1"
"CA3335711682319880602_A","CA3599211702520060705_C1"
"CA3335711682319880602_A","CA3454212045819981006_C1"
"CA3335711682319880602_A","CA3951912133920150911_C1"
"CA3335711682319880602_A","CA4101212148620070710_C1"
"CA3335711682319880602_A","CA4090212304019870830_C1"
"CA3335711682319880602_A","CA3615912025120061025_C1"
"CA3335711682319880602_A","CA3350011684320040425_C1"
"CA3335711682319880602_A","CA3626912129019840628_C1"
"CA3335711682319880602_A","CA3921812339220080704_C1"
"CA3335711682319880602_A","CA4072112286319940712_C1"
"CA3335711682319880602_A","CA3759312148820090813_C1"
"CA3335711682319880602_A","CA3552511899719970810_C1"
"CA3335911836420070510_A","CA3604211878120070706_C1"
"CA3335911836420070510_A","CA3396111720119960630_C1"
"CA3335911836420070510_A","CA3749212157220030827_C1"
"CA3335911836420070510_A","CA3370611680419940619_C1"
"CA3335911836420070510_A","CA3656911816319890330_C1"
"CA3335911836420070510_A","CA3398411985619990615_C1"
"CA3335911836420070510_A","CA3388411764320150419_C1"
"CA3335911836420070510_A","CA3792612050319950716_C1"
"CA3335911836420070510_A","CA4079412042519900808_C1"
"CA3335911836420070510_A","CA3625811864820161102_C1"
"CA3335911836420070510_A","CA3548112026719930614_C1"
"CA3335911836420070510_A","CA3398611448919860413_C1"
"CA3335911836420070510_A","CA4090212304019870830_C1"
"CA3335911836420070510_A","CA3608212045920160702_C1"
"CA3335911836420070510_A","CA3511611978620100515_C1"
"CA3335911836420070510_A","CA4184912355119870830_C1"
"CA3335911836420070510_A","CA3759312148820090813_C1"
"CA3335911836420070510_A","CA3570811796820100718_C1"
"CA3335911836420070510_A","CA3514011979419960622_C1"
"CA3335911836420070510_A","CA3696412090419960512_C1"
"CA3337111674720120809_A","CA3639412158320150919_C1"
"CA3337111674720120809_A","CA3749212157220030827_C1"
"CA3337111674720120809_A","CA3988312279019940827_C1"
"CA3337111674720120809_A","CA3525911502319940628_C1"
"CA3337111674720120809_A","CA3355611691120120814_C1"
"CA3337111674720120809_A","CA3463412033019970820_C1"
"CA3337111674720120809_A","CA3975012017819870613_C1"
"CA3337111674720120809_A","CA3514011979419960622_C1"
"CA3337111674720120809_A","CA3619712028419960512_C1"
"CA3337111674720120809_A","CA3501711684319950622_C1"
"CA3337111674720120809_A","CA3350011684320040425_C1"
"CA3337111674720120809_A","CA3696412090419960512_C1"
"CA3337111674720120809_A","CA3548112026719930614_C1"
"CA3337111674720120809_A","CA3883512314319880816_C1"
"CA3337111674720120809_A","CA3601111879719850712_C1"
"CA3337111674720120809_A","CA3947712308520080621_C1"
"CA3337111674720120809_A","CA3759312148820090813_C1"
"CA3337111674720120809_A","CA3959912231720000505_C1"
"CA3337111674720120809_A","CA3621511813520030827_C1"
"CA3337111674720120809_A","CA3471012049419970927_C1"
"CA3341011845320060722_A","CA4090212304019870830_C1"
"CA3341011845320060722_A","CA3591911943419920612_C1"
"CA3341011845320060722_A","CA4037112070120060718_C1"
"CA3341011845320060722_A","CA3592511748620050718_C1"
"CA3341011845320060722_A","CA3698911976620080610_C1"
"CA3341011845320060722_A","CA3539211577520050803_C1"
"CA3341011845320060722_A","CA3855712103319960802_C1"
"CA3341011845320060722_A","CA3355611691120120814_C1"
"CA3341011845320060722_A","CA3484512056319930615_C1"
"CA3341011845320060722_A","CA3655211908319901008_C1"
"CA3341011845320060722_A","CA3663112067819960415_C1"
"CA3341011845320060722_A","CA3445211772619840706_C1"
"CA3341011845320060722_A","CA3605012069320060722_C1"
"CA3341011845320060722_A","CA3824712190119890703_C1"
"CA3341011845320060722_A","CA3705711928720061201_C1"
"CA3341011845320060722_A","CA3485611858619840630_C1"
"CA3341011845320060722_A","CA4199712363419870830_C1"
"CA3341011845320060722_A","CA4075212115820020926_C1"
"CA3341011845320060722_A","CA4162412008719990925_C1"
"CA3341011845320060722_A","CA3700411949520160730_C1"
"CA3343911711919920927_A","CA3601111879719850712_C1"
"CA3343911711919920927_A","CA3636912148720020716_C1"
"CA3343911711919920927_A","CA3742611981719960801_C1"
"CA3343911711919920927_A","CA3771612024820000702_C1"
"CA3343911711919920927_A","CA3694211921919870801_C1"
"CA3343911711919920927_A","CA3331611676519890410_C1"
"CA3343911711919920927_A","CA3281011635519890621_C1"
"CA3343911711919920927_A","CA3484512056319930615_C1"
"CA3343911711919920927_A","CA4165512145820110608_C1"
"CA3343911711919920927_A","CA4139712116519870831_C1"
"CA3343911711919920927_A","CA3518011847820030721_C1"
"CA3343911711919920927_A","CA3514011979419960622_C1"
"CA3343911711919920927_A","CA3968312107719870831_C1"
"CA3343911711919920927_A","CA3881112138320070716_C1"
"CA3343911711919920927_A","CA3700411949520160730_C1"
"CA3343911711919920927_A","CA4037712021119860718_C1"
"CA3343911711919920927_A","CA4196012323320120805_C1"
"CA3343911711919920927_A","CA3975012017819870613_C1"
"CA3343911711919920927_A","CA3895812085620160628_C1"
"CA3343911711919920927_A","CA3590312056319850702_C1"
"CA3344711729819970904_A","CA4099512207820120818_C1"
"CA3344711729819970904_A","CA3790211905120100726_C1"
"CA3344711729819970904_A","CA3448712019620040605_C1"
"CA3344711729819970904_A","CA3902412068120060905_C1"
"CA3344711729819970904_A","CA4038712317320150730_C1"
"CA3344711729819970904_A","CA3584111804120160601_C1"
"CA3344711729819970904_A","CA3360911722119871003_C1"
"CA3344711729819970904_A","CA3630012029019870514_C1"
"CA3344711729819970904_A","CA3715812157619850708_C1"
"CA3344711729819970904_A","CA3465412058320101028_C1"
"CA3344711729819970904_A","CA3558912020619920729_C1"
"CA3344711729819970904_A","CA4048812292220080621_C1"
"CA3344711729819970904_A","CA3511611978620100515_C1"
"CA3344711729819970904_A","CA3491911980619960703_C1"
"CA3344711729819970904_A","CA3762512119620040719_C1"
"CA3344711729819970904_A","CA4192312065019840813_C1"
"CA3344711729819970904_A","CA3791711895020010812_C1"
"CA3344711729819970904_A","CA3591911943419920612_C1"
"CA3344711729819970904_A","CA3945512285120000401_C1"
"CA3344711729819970904_A","CA3639412158320150919_C1"
"CA3344811666519940624_A","CA3630012029019870514_C1"
"CA3344811666519940624_A","CA3398411985619990615_C1"
"CA3344811666519940624_A","CA4011712405220080621_C1"
"CA3344811666519940624_A","CA3759312148820090813_C1"
"CA3344811666519940624_A","CA4120212362120091007_C1"
"CA3344811666519940624_A","CA3644511863020141020_C1"
"CA3344811666519940624_A","CA3749212157220030827_C1"
"CA3344811666519940624_A","CA3698511863819880721_C1"
"CA3344811666519940624_A","CA3525911502319940628_C1"
"CA3344811666519940624_A","CA3431911917319871111_C1"
"CA3344811666519940624_A","CA4199712363419870830_C1"
"CA3344811666519940624_A","CA4030412219519990823_C1"
"CA3344811666519940624_A","CA3944112156720080610_C1"
"CA3344811666519940624_A","CA4052812207120080620_C1"
"CA3344811666519940624_A","CA3350011684320040425_C1"
"CA3344811666519940624_A","CA3396111720119960630_C1"
"CA3344811666519940624_A","CA3959912231720000505_C1"
"CA3344811666519940624_A","CA3646011736319840630_C1"
"CA3344811666519940624_A","CA4028412415619900808_C1"
"CA3344811666519940624_A","CA4179312283119870830_C1"
"CA3350011684320040425_A","CA4063112184820031027_C1"
"CA3350011684320040425_A","CA3665912086319860602_C1"
"CA3350011684320040425_A","CA3547311855319880811_C1"
"CA3350011684320040425_A","CA4090212304019870830_C1"
"CA3350011684320040425_A","CA4192312065019840813_C1"
"CA3350011684320040425_A","CA3591911943419920612_C1"
"CA3350011684320040425_A","CA3600012102719870707_C1"
"CA3350011684320040425_A","CA3976112380020080623_C1"
"CA3350011684320040425_A","CA3700411949520160730_C1"
"CA3350011684320040425_A","CA4196012323320120805_C1"
"CA3350011684320040425_A","CA3998912070119900806_C1"
"CA3350011684320040425_A","CA3698911976620080610_C1"
"CA3350011684320040425_A","CA3921812339220080704_C1"
"CA3350011684320040425_A","CA3935012076620080621_C1"
"CA3350011684320040425_A","CA3655011744919840630_C1"
"CA3350011684320040425_A","CA4055912254919900808_C1"
"CA3350011684320040425_A","CA3552511899719970810_C1"
"CA3350011684320040425_A","CA3951912133920150911_C1"
"CA3350011684320040425_A","CA3648711874620030927_C1"
"CA3350011684320040425_A","CA3491911980619960703_C1"
"CA3350811760519880830_A","CA3646712120519940805_C1"
"CA3350811760519880830_A","CA3591911943419920612_C1"
"CA3350811760519880830_A","CA3608212045920160702_C1"
"CA3350811760519880830_A","CA3604211878120070706_C1"
"CA3350811760519880830_A","CA3592511748620050718_C1"
"CA3350811760519880830_A","CA3644511863020141020_C1"
"CA3350811760519880830_A","CA3396111720119960630_C1"
"CA3350811760519880830_A","CA3700411949520160730_C1"
"CA3350811760519880830_A","CA3547311855319880811_C1"
"CA3350811760519880830_A","CA3600012102719870707_C1"
"CA3350811760519880830_A","CA3656512122619990817_C1"
"CA3350811760519880830_A","CA3581011591620050722_C1"
"CA3350811760519880830_A","CA3976512124820080622_C1"
"CA3350811760519880830_A","CA3951912133920150911_C1"
"CA3350811760519880830_A","CA3445211772619840706_C1"
"CA3350811760519880830_A","CA3979312286719900809_C1"
"CA3350811760519880830_A","CA3749212157220030827_C1"
"CA3350811760519880830_A","CA4072112286319940712_C1"
"CA3350811760519880830_A","CA3996312371720060924_C1"
"CA3350811760519880830_A","CA3859811975220150620_C1"
"CA3351511728419970620_A","CA3431911917319871111_C1"
"CA3351511728419970620_A","CA4192312065019840813_C1"
"CA3351511728419970620_A","CA4165512145820110608_C1"
"CA3351511728419970620_A","CA3700411949520160730_C1"
"CA3351511728419970620_A","CA3629712113219970531_C1"
"CA3351511728419970620_A","CA3976912001319850708_C1"
"CA3351511728419970620_A","CA3696412090419960512_C1"
"CA3351511728419970620_A","CA3398411985619990615_C1"
"CA3351511728419970620_A","CA4037112070120060718_C1"
"CA3351511728419970620_A","CA3599412057519850706_C1"
"CA3351511728419970620_A","CA3665912086319860602_C1"
"CA3351511728419970620_A","CA3511611978620100515_C1"
"CA3351511728419970620_A","CA3888612298219911018_C1"
